Date,Total_employment_Florida,ln_Total_employment_Florida
2000-01-01,6943.4,8.84554684707706
2000-02-01,6950.2,8.846525715123207
2000-03-01,6983.7,8.851334141270371
2000-04-01,7007.5,8.854736283038944
2000-05-01,7039.4,8.85927821824731
2000-06-01,7055.3,8.861534386416146
2000-07-01,7074.8,8.864294453560639
2000-08-01,7091.3,8.866623959558982
2000-09-01,7113.8,8.869791838534347
2000-10-01,7120.0,8.87066300440602
2000-11-01,7133.6,8.87257129482067
2000-12-01,7145.8,8.874280050506274
2001-01-01,7124.2,8.871252718131148
2001-02-01,7141.4,8.87366411454414
2001-03-01,7152.1,8.87516129885851
2001-04-01,7152.7,8.87524518678429
2001-05-01,7156.8,8.875818232678583
2001-06-01,7165.2,8.876991253340947
2001-07-01,7159.3,8.876167489812218
2001-08-01,7163.0,8.876684166614451
2001-09-01,7160.0,8.87626525995469
2001-10-01,7141.4,8.87366411454414
2001-11-01,7125.0,8.871365005136852
2001-12-01,7117.2,8.870269668632682
2002-01-01,7119.2,8.870550638542653
2002-02-01,7119.8,8.870634914123853
2002-03-01,7128.8,8.87189819629851
2002-04-01,7135.2,8.872795560351998
2002-05-01,7146.3,8.874350019230283
2002-06-01,7150.8,8.874979517540934
2002-07-01,7147.5,8.874517924196466
2002-08-01,7160.1,8.876279226337608
2002-09-01,7166.6,8.877186623078796
2002-10-01,7189.7,8.880404725227072
2002-11-01,7194.5,8.881072124203472
2002-12-01,7203.1,8.882266767897256
2003-01-01,7200.8,8.881947409942876
2003-02-01,7202.7,8.882211234709219
2003-03-01,7210.6,8.883307444569711
2003-04-01,7206.9,8.88279417942926
2003-05-01,7212.0,8.883501584323207
2003-06-01,7220.2,8.884637932334236
2003-07-01,7227.3,8.885620801421839
2003-08-01,7235.8,8.886796206553328
2003-09-01,7252.7,8.88912909231302
2003-10-01,7273.7,8.892020381913914
2003-11-01,7279.5,8.892817457513381
2003-12-01,7295.9,8.895067825519886
2004-01-01,7354.8,8.903108440279686
2004-02-01,7373.1,8.90559352089781
2004-03-01,7393.8,8.908397090172132
2004-04-01,7433.6,8.91376554257609
2004-05-01,7454.7,8.916599984940438
2004-06-01,7480.6,8.920068281655302
2004-07-01,7513.0,8.92439013236916
2004-08-01,7517.8,8.925028820950363
2004-09-01,7484.6,8.920602855211989
2004-10-01,7562.3,8.930930655708396
2004-11-01,7603.8,8.936403401316074
2004-12-01,7628.1,8.939594076230604
2005-01-01,7649.9,8.942447854839719
2005-02-01,7670.7,8.94516315486447
2005-03-01,7671.7,8.945293512566188
2005-04-01,7720.4,8.951621455148052
2005-05-01,7754.5,8.956028598999508
2005-06-01,7763.1,8.957137017940644
2005-07-01,7814.3,8.963710667506653
2005-08-01,7837.8,8.966713461720573
2005-09-01,7874.4,8.971372270315001
2005-10-01,7873.7,8.971283370701656
2005-11-01,7883.3,8.97250187691322
2005-12-01,7903.2,8.975023019730264
2006-01-01,7910.4,8.975933628383261
2006-02-01,7922.1,8.977411601177172
2006-03-01,7952.3,8.981216473982938
2006-04-01,7960.0,8.982184278838428
2006-05-01,7977.2,8.984342751679067
2006-06-01,7995.1,8.986584133007218
2006-07-01,7998.3,8.98698429808065
2006-08-01,8016.0,8.989194823324645
2006-09-01,8023.6,8.990142477950542
2006-10-01,8018.4,8.989494179710656
2006-11-01,8026.4,8.990491387611403
2006-12-01,8034.6,8.991512494729575
2007-01-01,8040.2,8.99220923748551
2007-02-01,8042.1,8.992445522097642
2007-03-01,8055.1,8.9940607101833
2007-04-01,8038.6,8.992010217657501
2007-05-01,8031.9,8.991176391654802
2007-06-01,8026.7,8.990528763569944
2007-07-01,7996.6,8.986771730323877
2007-08-01,7983.5,8.985132190779757
2007-09-01,7969.6,8.983389582319019
2007-10-01,7948.8,8.98077625285905
2007-11-01,7943.9,8.98015961752896
2007-12-01,7933.9,8.978899997011986
2008-01-01,7900.3,8.974656012417638
2008-02-01,7891.2,8.97350349352997
2008-03-01,7862.9,8.969910774118453
2008-04-01,7810.2,8.96318585070047
2008-05-01,7777.1,8.958938797040975
2008-06-01,7743.3,8.954583232308776
2008-07-01,7705.4,8.94967666074805
2008-08-01,7670.3,8.945111007025336
2008-09-01,7640.1,8.941165971080142
2008-10-01,7579.1,8.933149738077802
2008-11-01,7533.0,8.927048647825695
2008-12-01,7488.9,8.921177203242603
2009-01-01,7417.4,8.911583870442822
2009-02-01,7361.7,8.90404616331242
2009-03-01,7312.2,8.897299465057511
2009-04-01,7272.7,8.891882890850617
2009-05-01,7249.4,8.888673985803347
2009-06-01,7224.4,8.88521946454951
2009-07-01,7199.2,8.88172518771974
2009-08-01,7174.7,8.878316227906993
2009-09-01,7160.3,8.876307158518275
2009-10-01,7144.8,8.874140098369676
2009-11-01,7146.1,8.874322032328152
2009-12-01,7130.3,8.872108588259508
2010-01-01,7132.2,8.872375021214634
2010-02-01,7131.9,8.872332957572336
2010-03-01,7137.6,8.873131864374
2010-04-01,7158.0,8.875985891325971
2010-05-01,7201.4,8.88203073054672
2010-06-01,7188.5,8.880237805862647
2010-07-01,7190.4,8.88050208199101
2010-08-01,7191.8,8.88069676708848
2010-09-01,7173.2,8.878107138074268
2010-10-01,7203.6,8.882336180045797
2010-11-01,7197.1,8.881433446089613
2010-12-01,7200.4,8.88189185901655
2011-01-01,7217.6,8.884277766654131
2011-02-01,7213.3,8.883681823209542
2011-03-01,7219.4,8.884527125940593
2011-04-01,7250.0,8.88875674784872
2011-05-01,7243.6,8.887873599367188
2011-06-01,7236.6,8.886906761817253
2011-07-01,7261.2,8.890300383416276
2011-08-01,7264.9,8.890809811284736
2011-09-01,7285.3,8.893613898289304
2011-10-01,7287.3,8.893888386028289
2011-11-01,7293.8,8.894779951195602
2011-12-01,7306.4,8.896505955377469
2012-01-01,7327.8,8.899430613405098
2012-02-01,7337.6,8.900767092663585
2012-03-01,7356.1,8.903285179976562
2012-04-01,7381.5,8.906732148974143
2012-05-01,7381.6,8.906745696264347
2012-06-01,7397.5,8.908897384274365
2012-07-01,7402.1,8.909519022717044
2012-08-01,7412.1,8.910869078949425
2012-09-01,7431.5,8.913483001588949
2012-10-01,7457.4,8.91696210697952
2012-11-01,7465.7,8.918074476508083
2012-12-01,7475.8,8.919426415943661
2013-01-01,7490.0,8.921324076511265
2013-02-01,7512.3,8.92429695619291
2013-03-01,7527.6,8.926331544890697
2013-04-01,7542.1,8.928255936812873
2013-05-01,7555.9,8.930083994018206
2013-06-01,7582.3,8.933571862689977
2013-07-01,7597.2,8.93553503733808
2013-08-01,7616.9,8.938124741758315
2013-09-01,7635.5,8.940563703393236
2013-10-01,7653.0,8.942853006809921
2013-11-01,7670.9,8.9451892277643
2013-12-01,7689.3,8.947585031048261
2014-01-01,7702.3,8.949274264538126
2014-02-01,7723.4,8.95200996057259
2014-03-01,7747.5,8.955125489661903
2014-04-01,7781.4,8.959491549569751
2014-05-01,7800.8,8.961981571520909
2014-06-01,7821.4,8.964618845648726
2014-07-01,7840.2,8.967019623223155
2014-08-01,7864.1,8.970063377921127
2014-09-01,7890.5,8.973414783188188
2014-10-01,7907.5,8.975566955179804
2014-11-01,7936.6,8.979240250945516
2014-12-01,7962.1,8.982448063139769
2015-01-01,7978.7,8.984530769904854
2015-02-01,8000.9,8.987309314334322
2015-03-01,8023.0,8.990067695753655
2015-04-01,8039.4,8.992109732522618
2015-05-01,8075.5,8.996590065678568
2015-06-01,8101.2,8.999767477835825
2015-07-01,8124.7,9.002664083439342
2015-08-01,8150.4,9.005822284785138
2015-09-01,8170.0,9.008224187854049
2015-10-01,8209.9,9.013096022104328
2015-11-01,8238.5,9.016573567497487
2015-12-01,8261.9,9.019409864276586
2016-01-01,8270.0,9.020389788017736
2016-02-01,8293.9,9.023275583825033
2016-03-01,8314.3,9.025732202875798
2016-04-01,8342.3,9.029094236709149
2016-05-01,8363.1,9.03158445074158
2016-06-01,8370.8,9.032504738366514
2016-07-01,8416.9,9.037996868423404
2016-08-01,8429.3,9.039469010774729
2016-09-01,8469.5,9.044226754026436
2016-10-01,8467.2,9.043955154480582
2016-11-01,8480.4,9.045512897484809
2016-12-01,8496.5,9.04740959297416
2017-01-01,8522.5,9.050465004012057
2017-02-01,8528.1,9.051121872415676
2017-03-01,8545.1,9.053113298231361
2017-04-01,8558.4,9.054668535776985
2017-05-01,8576.6,9.056792843549875
2017-06-01,8593.9,9.058807928242107
2017-07-01,8600.2,9.05954073778514
2017-08-01,8610.0,9.060679597421776
2017-09-01,8452.7,9.042241195940678
2017-10-01,8633.0,9.063347348235522
2017-11-01,8650.6,9.065383961682192
2017-12-01,8672.0,9.067854723679428
2018-01-01,8688.8,9.069790118965827
2018-02-01,8710.3,9.072261512422168
2018-03-01,8735.2,9.075116118699857
2018-04-01,8749.8,9.076786121947574
2018-05-01,8762.8,9.078270767561344
2018-06-01,8784.8,9.080778234283503
2018-07-01,8792.5,9.081654364348138
2018-08-01,8824.1,9.085241893598045
2018-09-01,8846.6,9.087788483394668
2018-10-01,8852.6,9.088466480166256
2018-11-01,8864.3,9.089787253179686
2018-12-01,8870.7,9.0905089898899
2019-01-01,8894.8,9.093222115305277
2019-02-01,8916.3,9.095636341315204
2019-03-01,8928.6,9.09701488666406
2019-04-01,8937.4,9.09799999812848
2019-05-01,8944.3,9.098771736871715
2019-06-01,8951.7,9.099598737365877
2019-07-01,8969.7,9.101607509677498
2019-08-01,8995.9,9.104524196965844
2019-09-01,8989.5,9.10381250856635
2019-10-01,9028.2,9.108108290992888
2019-11-01,9047.6,9.110254808153826
2019-12-01,9065.1,9.112187154567708
2020-01-01,9076.1,9.113399863908668
2020-02-01,9087.1,9.11461110436683
2020-03-01,9018.6,9.107044390367236
2020-04-01,7801.8,8.96210975528533
2020-05-01,8038.1,8.991948015837457
2020-06-01,8328.9,9.027486673620018
2020-07-01,8385.2,9.034223526089727
2020-08-01,8417.7,9.038091910776725
2020-09-01,8464.6,9.043648040054421
2020-10-01,8561.5,9.055030687429026
2020-11-01,8599.8,9.059494226157225
2020-12-01,8633.2,9.063370514884815
2021-01-01,8676.0,9.068315871946766
2021-02-01,8712.7,9.072537010328979
2021-03-01,8758.2,9.077745683364588
2021-04-01,8766.7,9.078715731771887
2021-05-01,8825.5,9.085400537420334
2021-06-01,8876.7,9.091185145296167
2021-07-01,8977.9,9.102521280941685
2021-08-01,8995.9,9.104524196965844
2021-09-01,9031.3,9.108451600611698
2021-10-01,9145.5,9.12101723401598
2021-11-01,9185.4,9.12537054596609
2021-12-01,9216.1,9.128707233571248
2022-01-01,9218.3,9.128945917771487
2022-02-01,9278.9,9.135498284271721
2022-03-01,9296.5,9.137393264220117
2022-04-01,9365.7,9.144809358480972
2022-05-01,9394.6,9.147890335102977
2022-06-01,9412.5,9.149793872108148
2022-07-01,9483.1,9.15726654601425
2022-08-01,9522.9,9.161454703246335
2022-09-01,9556.8,9.165008221978042
2022-10-01,9570.0,9.166388484447
2022-11-01,9579.8,9.16741199392026
2022-12-01,9612.1,9.170778000464331
2023-01-01,9645.0,9.17419492533983
2023-02-01,9661.4,9.175893844241815
2023-03-01,9688.0,9.178643285232928
2023-04-01,9709.1,9.18081886903901
2023-05-01,9729.4,9.182907508324938
2023-06-01,9765.0,9.186559843310778
2023-07-01,9760.3,9.186078416639663
2023-08-01,9773.5,9.187429920393077
2023-09-01,9792.4,9.189361853590984
2023-10-01,9812.8,9.19144293487172
2023-11-01,9846.6,9.194881496913638
2023-12-01,9865.8,9.196829509948236
2024-01-01,9893.1,9.199592823429418
2024-02-01,9888.7,9.199147970072033
2024-03-01,9904.3,9.20072428525722
2024-04-01,9945.6,9.20488552129322
2024-05-01,9952.0,9.20552881497896
2024-06-01,9968.0,9.207135241027235
2024-07-01,9978.9,9.208228142789908
2024-08-01,9980.1,9.20834838929539
2024-09-01,9984.0,9.208739090609209
2024-10-01,9949.0,9.20522732258936
2024-11-01,9995.7,9.209910279499672
2024-12-01,10013.7,9.21170943438242
