Date,Total_population_Florida,ln_Total_population_Florida
2000-01-01,16047.515,9.683309287910532
2001-01-01,16356.966,9.702409140635591
2002-01-01,16689.37,9.722527268789454
2003-01-01,17004.085,9.741208888289993
2004-01-01,17415.318,9.765105442753974
2005-01-01,17842.038,9.789312637277536
2006-01-01,18166.99,9.807361489989978
2007-01-01,18367.842,9.81835669716592
2008-01-01,18527.305,9.827000868874702
2009-01-01,18652.644,9.833743184460621
2010-01-01,18846.143,9.844063556554957
2011-01-01,19055.607,9.855116667956723
2012-01-01,19302.016,9.867964825396383
2013-01-01,19551.678,9.880816392932271
2014-01-01,19853.88,9.89615473300931
2015-01-01,20219.111,9.914383525237982
2016-01-01,20627.237,9.934367665927516
2017-01-01,20977.089,9.95118612113184
2018-01-01,21254.926,9.964343959253073
2019-01-01,21492.056,9.975438657466013
2020-01-01,21592.035,9.980079775667257
2021-01-01,21831.949,9.991129726364926
2022-01-01,22379.312,10.015892239659689
2023-01-01,22904.868,10.039104743370379
2024-01-01,23372.215,10.059303202673606
