observation_date,FLPOP
2000-01-01,16047.515
2001-01-01,16356.966
2002-01-01,16689.370
2003-01-01,17004.085
2004-01-01,17415.318
2005-01-01,17842.038
2006-01-01,18166.990
2007-01-01,18367.842
2008-01-01,18527.305
2009-01-01,18652.644
2010-01-01,18846.143
2011-01-01,19055.607
2012-01-01,19302.016
2013-01-01,19551.678
2014-01-01,19853.880
2015-01-01,20219.111
2016-01-01,20627.237
2017-01-01,20977.089
2018-01-01,21254.926
2019-01-01,21492.056
2020-01-01,21592.035
2021-01-01,21831.949
2022-01-01,22379.312
2023-01-01,22904.868
2024-01-01,23372.215
