observation_date,FLBP1FHSA
2000-01-01,8308.3820961197416
2000-02-01,8720.6534991451208
2000-03-01,8993.1922073517999
2000-04-01,7857.0402368595596
2000-05-01,8773.6266864280697
2000-06-01,9378.3413516587807
2000-07-01,7470.3757383680404
2000-08-01,8919.6564467880198
2000-09-01,8897.9966097681991
2000-10-01,8524.9820853499095
2000-11-01,8612.5757662768410
2000-12-01,8504.0002184298501
2001-01-01,9367.9965337742797
2001-02-01,8782.7589418040898
2001-03-01,9176.1509933023099
2001-04-01,9690.1870541717417
2001-05-01,10190.0003936332996
2001-06-01,9496.8914171586312
2001-07-01,9707.7102898497287
2001-08-01,9974.5687553170701
2001-09-01,9231.2622718451294
2001-10-01,9872.8997702913730
2001-11-01,10681.4796318059998
2001-12-01,10048.1559845307002
2002-01-01,11342.8976840554005
2002-02-01,11236.6383641305001
2002-03-01,10252.3280081895009
2002-04-01,9547.2023463122296
2002-05-01,9723.6699432348796
2002-06-01,9567.8612962035204
2002-07-01,10088.4985961027996
2002-08-01,10586.5279364264006
2002-09-01,10746.8302516950007
2002-10-01,11568.5346678305996
2002-11-01,11376.8701716370997
2002-12-01,11733.8686139216006
2003-01-01,11418.0871365423991
2003-02-01,11686.2093351353997
2003-03-01,10934.3142901398005
2003-04-01,12271.7368958247007
2003-05-01,12072.9419341298999
2003-06-01,12175.3314763034996
2003-07-01,12602.6519651318995
2003-08-01,12670.8568767208017
2003-09-01,13928.2698889688982
2003-10-01,14147.3678659244997
2003-11-01,12102.7219835422002
2003-12-01,15404.0106093355007
2004-01-01,13108.3974014903997
2004-02-01,13537.9114708792004
2004-03-01,14368.8707990888997
2004-04-01,15101.6150256595993
2004-05-01,15066.0881493997003
2004-06-01,15996.1502266811003
2004-07-01,15756.6659951407000
2004-08-01,13934.3371596365996
2004-09-01,14501.1294258858015
2004-10-01,14916.5429152281995
2004-11-01,15122.3133634599999
2004-12-01,16268.9813970430005
2005-01-01,16111.2094253510004
2005-02-01,15877.5482092825005
2005-03-01,16923.2171227924009
2005-04-01,17119.2981395313000
2005-05-01,15985.6096199796993
2005-06-01,17379.2641619118986
2005-07-01,15258.8061580003996
2005-08-01,18684.6258321878013
2005-09-01,21411.2667751355984
2005-10-01,15670.9542313303009
2005-11-01,17560.1221587110012
2005-12-01,17063.7870867204001
2006-01-01,17600.5804257737000
2006-02-01,17032.9223397862988
2006-03-01,17076.2639352951010
2006-04-01,13656.3758219701995
2006-05-01,13658.5825460719007
2006-06-01,12001.7965110280002
2006-07-01,10245.4112942736992
2006-08-01,10760.4274820944993
2006-09-01,9653.6018925242297
2006-10-01,8981.5514048743007
2006-11-01,9219.1312488646308
2006-12-01,8162.7386255701604
2007-01-01,7618.0673631824002
2007-02-01,7265.5172533895984
2007-03-01,7506.8263208645985
2007-04-01,6907.0248997625904
2007-05-01,6931.6839755232304
2007-06-01,6471.1018811784716
2007-07-01,5808.8569356333901
2007-08-01,5607.6089147289795
2007-09-01,5007.3165165687715
2007-10-01,4798.7524809821298
2007-11-01,4280.3734338683998
2007-12-01,4153.9374847733206
2008-01-01,4640.3078584445284
2008-02-01,3812.7712755632497
2008-03-01,3512.0671532434499
2008-04-01,3723.5898190760608
2008-05-01,3486.0530565975200
2008-06-01,3446.0515268099002
2008-07-01,3551.8722150642998
2008-08-01,3024.5738060968797
2008-09-01,3105.0555735989301
2008-10-01,2918.4124858367800
2008-11-01,2164.1013106363898
2008-12-01,2025.5653114434101
2009-01-01,1878.9836274576101
2009-02-01,2002.9534484216099
2009-03-01,1801.2403200946103
2009-04-01,1850.1953891012899
2009-05-01,2002.5045540240601
2009-06-01,2557.3425451333101
2009-07-01,2562.5412631604900
2009-08-01,2311.7393668084901
2009-09-01,2637.6308100226997
2009-10-01,2745.8812830908300
2009-11-01,2434.9636063481603
2009-12-01,2842.5719978844104
2010-01-01,3037.5455568284101
2010-02-01,2983.0181933469298
2010-03-01,3125.4813135066902
2010-04-01,2993.9882922447400
2010-05-01,2421.8742062348997
2010-06-01,2394.4622638960600
2010-07-01,2267.6080441664103
2010-08-01,2420.9930199645701
2010-09-01,2357.7088108979601
2010-10-01,2162.7228404574203
2010-11-01,2229.8211265223499
2010-12-01,2401.7966964768102
2011-01-01,2288.7265775420601
2011-02-01,2215.6347225475197
2011-03-01,2475.4818827810300
2011-04-01,2420.5122424397000
2011-05-01,2659.6755513921203
2011-06-01,2711.0495785331100
2011-07-01,2658.3388052502100
2011-08-01,3054.0160975875397
2011-09-01,2825.3284196934401
2011-10-01,2769.9216131259300
2011-11-01,2806.8485583408801
2011-12-01,2920.4379115827601
2012-01-01,2902.4011483526097
2012-02-01,3174.0075500600001
2012-03-01,3151.0226103816399
2012-04-01,2969.8472123456500
2012-05-01,3368.8076106543895
2012-06-01,3434.1506636613299
2012-07-01,3561.0190435820100
2012-08-01,3611.1617058205297
2012-09-01,3642.8972780492800
2012-10-01,4362.4602242746396
2012-11-01,4175.3633232779403
2012-12-01,4099.7854442938897
2013-01-01,4449.6005881771207
2013-02-01,4428.8547991438109
2013-03-01,4506.0969899809597
2013-04-01,4737.3607432084600
2013-05-01,4904.2257286997692
2013-06-01,4595.4799248993604
2013-07-01,4743.0900830970595
2013-08-01,4780.5537219016205
2013-09-01,4484.9455685302701
2013-10-01,4843.5057264015795
2013-11-01,4892.8268218632893
2013-12-01,4214.6962663358800
2014-01-01,4726.8298111724116
2014-02-01,4416.6356318977005
2014-03-01,4366.4787011572898
2014-04-01,4674.8125904485796
2014-05-01,4521.6790979141506
2014-06-01,4570.3440161028702
2014-07-01,4995.5375324368897
2014-08-01,4826.2731199841101
2014-09-01,4961.2525734515693
2014-10-01,4925.6295684032093
2014-11-01,4531.8663326654496
2014-12-01,4824.7002918097105
2015-01-01,4791.7021056783797
2015-02-01,5093.7526299063902
2015-03-01,4997.6658997207296
2015-04-01,5499.5165345421801
2015-05-01,5013.9021926673204
2015-06-01,5925.7776015265508
2015-07-01,5470.4535674016306
2015-08-01,5221.9999267200401
2015-09-01,5906.8701492547807
2015-10-01,5603.6440273973203
2015-11-01,5925.1575309556492
2015-12-01,6266.6415216224996
2016-01-01,5752.5405905022708
2016-02-01,6096.5216376624085
2016-03-01,6054.5867714569495
2016-04-01,5837.6856290702390
2016-05-01,6229.5775589598206
2016-06-01,6239.9933195089598
2016-07-01,5862.0406654684803
2016-08-01,6973.1925789278284
2016-09-01,6458.9413144112204
2016-10-01,5512.8773323962596
2016-11-01,6213.0106943961000
2016-12-01,6760.7314038549284
2017-01-01,6454.4786683291695
2017-02-01,6656.6510557272804
2017-03-01,7397.8506234797806
2017-04-01,6747.5868773248794
2017-05-01,7192.9511004310789
2017-06-01,7389.1575989592593
2017-07-01,6793.4800506663505
2017-08-01,7690.6564229103697
2017-09-01,5734.7440544931605
2017-10-01,6791.6721360546899
2017-11-01,7332.2244559811907
2017-12-01,7031.2282241111716
2018-01-01,7628.9057137697200
2018-02-01,7217.1765008904194
2018-03-01,7369.3689811900995
2018-04-01,8754.0467355449509
2018-05-01,7906.0683317827697
2018-06-01,8204.9090927264606
2018-07-01,8305.2162993747206
2018-08-01,7829.4399254902210
2018-09-01,7457.8758840355085
2018-10-01,8109.3267244556591
2018-11-01,8466.1473465280487
2018-12-01,7626.2111931464915
2019-01-01,7993.0793489004800
2019-02-01,8036.4469593215581
2019-03-01,7491.6717837657297
2019-04-01,7721.4089912060099
2019-05-01,8173.4752911941796
2019-06-01,7462.2586592427588
2019-07-01,8594.9935327605599
2019-08-01,8708.9315818252089
2019-09-01,8482.3494380021511
2019-10-01,9270.8994090452488
2019-11-01,8474.7912482124502
2019-12-01,8927.6320774122596
2020-01-01,9490.5930434501897
2020-02-01,9332.2704528412396
2020-03-01,9022.1992885025793
2020-04-01,7905.1549738331296
2020-05-01,7475.2426663919196
2020-06-01,8033.8787522700004
2020-07-01,9424.4407093555583
2020-08-01,9513.5855297843991
2020-09-01,10933.7693097021001
2020-10-01,11198.6874001125998
2020-11-01,11109.5053443757006
2020-12-01,12803.9362574541992
2021-01-01,11428.6582261683016
2021-02-01,10428.8409321083000
2021-03-01,11864.0549896095999
2021-04-01,12183.8028037594995
2021-05-01,11761.2033045446005
2021-06-01,13185.5698415808001
2021-07-01,12598.2064935800008
2021-08-01,12080.5257935720001
2021-09-01,12425.0363617675994
2021-10-01,11060.5627238677007
2021-11-01,12624.8646312489982
2021-12-01,13027.2929639398008
2022-01-01,12457.6568758048998
2022-02-01,12897.4789363283016
2022-03-01,12209.0898519753991
2022-04-01,12717.3040404423991
2022-05-01,11610.6793470333996
2022-06-01,10896.1880493694007
2022-07-01,9724.1930724939502
2022-08-01,10180.2840886687009
2022-09-01,9276.1409307361500
2022-10-01,9043.2468879383305
2022-11-01,9065.8198241195096
2022-12-01,8956.5630506919806
2023-01-01,8548.4672038529407
2023-02-01,9168.5168057963510
2023-03-01,9976.2064862190091
2023-04-01,8686.1652335596300
2023-05-01,10377.3138291474006
2023-06-01,11347.9343369701000
2023-07-01,10261.1485088198006
2023-08-01,11346.9358227277007
2023-09-01,11943.9719666287983
2023-10-01,11428.7319882801003
2023-11-01,11268.6845615042985
2023-12-01,11059.7208613740004
2024-01-01,12113.1839895968005
2024-02-01,10920.8123756726000
2024-03-01,9728.1012016134700
2024-04-01,11111.1490598739983
2024-05-01,11438.4362778873001
2024-06-01,9699.1087006809503
2024-07-01,10752.0386635969007
2024-08-01,9952.5396898167692
2024-09-01,9515.9383043052585
2024-10-01,9908.0595683129413
2024-11-01,9884.5105972968086
2024-12-01,10158.5196963361996
