observation_date,LAKE412NA
2000-01-01,174.8
2000-02-01,174.3
2000-03-01,175.3
2000-04-01,177.8
2000-05-01,179.0
2000-06-01,178.9
2000-07-01,180.0
2000-08-01,182.0
2000-09-01,181.1
2000-10-01,180.5
2000-11-01,180.6
2000-12-01,180.8
2001-01-01,180.8
2001-02-01,181.3
2001-03-01,181.5
2001-04-01,179.8
2001-05-01,180.5
2001-06-01,180.7
2001-07-01,181.0
2001-08-01,181.7
2001-09-01,181.4
2001-10-01,182.0
2001-11-01,180.9
2001-12-01,180.8
2002-01-01,180.0
2002-02-01,179.8
2002-03-01,180.1
2002-04-01,179.5
2002-05-01,180.2
2002-06-01,179.8
2002-07-01,180.4
2002-08-01,181.2
2002-09-01,181.1
2002-10-01,180.8
2002-11-01,181.4
2002-12-01,180.9
2003-01-01,179.7
2003-02-01,178.8
2003-03-01,179.2
2003-04-01,181.3
2003-05-01,181.0
2003-06-01,181.3
2003-07-01,182.0
2003-08-01,183.5
2003-09-01,184.2
2003-10-01,184.8
2003-11-01,185.4
2003-12-01,186.6
2004-01-01,189.8
2004-02-01,189.7
2004-03-01,190.8
2004-04-01,191.2
2004-05-01,191.9
2004-06-01,192.4
2004-07-01,193.4
2004-08-01,193.2
2004-09-01,192.8
2004-10-01,195.7
2004-11-01,197.6
2004-12-01,199.4
2005-01-01,200.6
2005-02-01,201.9
2005-03-01,202.3
2005-04-01,203.9
2005-05-01,204.3
2005-06-01,205.3
2005-07-01,206.3
2005-08-01,207.6
2005-09-01,207.9
2005-10-01,208.7
2005-11-01,209.5
2005-12-01,209.1
2006-01-01,209.6
2006-02-01,210.0
2006-03-01,211.3
2006-04-01,210.1
2006-05-01,210.1
2006-06-01,210.6
2006-07-01,209.8
2006-08-01,210.7
2006-09-01,210.7
2006-10-01,209.5
2006-11-01,209.7
2006-12-01,209.6
2007-01-01,210.4
2007-02-01,210.3
2007-03-01,210.9
2007-04-01,210.8
2007-05-01,211.2
2007-06-01,211.2
2007-07-01,210.4
2007-08-01,209.6
2007-09-01,209.5
2007-10-01,209.5
2007-11-01,209.2
2007-12-01,209.3
2008-01-01,210.0
2008-02-01,210.1
2008-03-01,209.9
2008-04-01,207.9
2008-05-01,207.2
2008-06-01,207.3
2008-07-01,207.1
2008-08-01,206.5
2008-09-01,206.3
2008-10-01,204.4
2008-11-01,203.1
2008-12-01,201.9
2009-01-01,200.8
2009-02-01,199.4
2009-03-01,198.8
2009-04-01,198.3
2009-05-01,197.5
2009-06-01,195.7
2009-07-01,195.1
2009-08-01,194.3
2009-09-01,193.2
2009-10-01,193.2
2009-11-01,192.8
2009-12-01,192.3
2010-01-01,191.7
2010-02-01,192.0
2010-03-01,192.6
2010-04-01,191.3
2010-05-01,192.8
2010-06-01,191.8
2010-07-01,191.3
2010-08-01,190.9
2010-09-01,189.2
2010-10-01,190.4
2010-11-01,190.0
2010-12-01,189.8
2011-01-01,189.8
2011-02-01,189.6
2011-03-01,189.7
2011-04-01,190.5
2011-05-01,190.1
2011-06-01,189.8
2011-07-01,190.2
2011-08-01,189.7
2011-09-01,190.3
2011-10-01,190.5
2011-11-01,191.1
2011-12-01,190.7
2012-01-01,190.6
2012-02-01,190.9
2012-03-01,190.9
2012-04-01,192.0
2012-05-01,191.9
2012-06-01,192.7
2012-07-01,193.1
2012-08-01,193.5
2012-09-01,193.8
2012-10-01,193.7
2012-11-01,194.0
2012-12-01,194.1
2013-01-01,195.8
2013-02-01,196.9
2013-03-01,196.6
2013-04-01,196.3
2013-05-01,196.5
2013-06-01,196.3
2013-07-01,196.9
2013-08-01,197.5
2013-09-01,197.7
2013-10-01,199.0
2013-11-01,198.4
2013-12-01,198.9
2014-01-01,199.7
2014-02-01,200.0
2014-03-01,200.3
2014-04-01,201.0
2014-05-01,201.0
2014-06-01,201.0
2014-07-01,201.4
2014-08-01,201.4
2014-09-01,202.0
2014-10-01,202.9
2014-11-01,203.7
2014-12-01,204.4
2015-01-01,204.7
2015-02-01,205.0
2015-03-01,205.4
2015-04-01,205.9
2015-05-01,207.0
2015-06-01,208.3
2015-07-01,208.8
2015-08-01,209.8
2015-09-01,210.6
2015-10-01,210.1
2015-11-01,210.9
2015-12-01,211.3
2016-01-01,211.6
2016-02-01,212.4
2016-03-01,213.2
2016-04-01,214.8
2016-05-01,216.3
2016-06-01,215.7
2016-07-01,216.3
2016-08-01,217.3
2016-09-01,216.9
2016-10-01,217.5
2016-11-01,217.6
2016-12-01,218.3
2017-01-01,219.2
2017-02-01,219.7
2017-03-01,220.4
2017-04-01,220.1
2017-05-01,220.9
2017-06-01,222.2
2017-07-01,221.9
2017-08-01,222.4
2017-09-01,218.0
2017-10-01,222.5
2017-11-01,223.2
2017-12-01,224.0
2018-01-01,223.9
2018-02-01,224.3
2018-03-01,224.3
2018-04-01,225.7
2018-05-01,226.6
2018-06-01,227.6
2018-07-01,228.9
2018-08-01,229.7
2018-09-01,230.9
2018-10-01,231.4
2018-11-01,233.1
2018-12-01,232.3
2019-01-01,232.5
2019-02-01,232.7
2019-03-01,233.1
2019-04-01,233.3
2019-05-01,233.9
2019-06-01,235.3
2019-07-01,236.3
2019-08-01,237.5
2019-09-01,238.2
2019-10-01,239.0
2019-11-01,239.6
2019-12-01,240.4
2020-01-01,241.7
2020-02-01,242.0
2020-03-01,242.4
2020-04-01,223.5
2020-05-01,229.4
2020-06-01,236.8
2020-07-01,236.6
2020-08-01,239.4
2020-09-01,241.2
2020-10-01,244.4
2020-11-01,245.2
2020-12-01,249.7
2021-01-01,248.6
2021-02-01,249.9
2021-03-01,250.8
2021-04-01,251.1
2021-05-01,252.3
2021-06-01,253.2
2021-07-01,254.0
2021-08-01,254.0
2021-09-01,256.1
2021-10-01,260.6
2021-11-01,260.0
2021-12-01,259.6
2022-01-01,259.0
2022-02-01,261.0
2022-03-01,262.3
2022-04-01,264.2
2022-05-01,264.2
2022-06-01,264.8
2022-07-01,266.5
2022-08-01,267.5
2022-09-01,267.8
2022-10-01,268.0
2022-11-01,268.6
2022-12-01,269.1
2023-01-01,269.7
2023-02-01,270.1
2023-03-01,269.9
2023-04-01,271.0
2023-05-01,271.2
2023-06-01,271.5
2023-07-01,271.4
2023-08-01,271.8
2023-09-01,272.5
2023-10-01,274.3
2023-11-01,274.8
2023-12-01,275.0
2024-01-01,275.3
2024-02-01,276.1
2024-03-01,276.1
2024-04-01,277.4
2024-05-01,277.5
2024-06-01,278.7
2024-07-01,279.7
2024-08-01,279.8
2024-09-01,279.0
2024-10-01,278.9
2024-11-01,278.3
2024-12-01,278.6
